Altmetric Attention Score,Publication Date,Number of Dimensions citations
10,12/4/2015,16
35,12/4/2015,82
2,12/5/2015,8
6,12/8/2015,12
39,12/8/2015,79
96,12/9/2015,79
4,12/11/2015,27
5,12/11/2015,1
0,12/14/2015,1
3,12/14/2015,12
6,12/14/2015,18
8,12/14/2015,24
11,12/14/2015,9
37,12/14/2015,48
37,12/14/2015,57
45,12/14/2015,86
25,12/17/2015,52
1,12/21/2015,12
3,12/22/2015,14
3,12/22/2015,75
4,12/22/2015,5
9,12/23/2015,23
116,12/23/2015,31
13,12/24/2015,37
20,12/24/2015,52
70,12/24/2015,33
0,12/28/2015,0
3,12/28/2015,36
7,12/28/2015,38
9,12/28/2015,11
10,12/28/2015,35
2,12/29/2015,10
20,12/29/2015,61
1,1/1/2016,0
3,1/6/2016,8
54,1/6/2016,13
74,1/6/2016,67
9,1/11/2016,15
29,1/11/2016,27
69,1/11/2016,103
5,1/12/2016,7
10,1/12/2016,9
5,1/13/2016,1
5,1/13/2016,15
7,1/13/2016,13
21,1/13/2016,56
8,1/19/2016,10
24,1/20/2016,27
27,1/20/2016,31
5,1/22/2016,29
4,1/25/2016,7
16,1/25/2016,5
4,1/28/2016,22
8,1/28/2016,7
9,1/29/2016,20
11,1/29/2016,31
12,2/2/2016,67
4,2/5/2016,27
2,2/6/2016,14
4,2/6/2016,44
8,2/6/2016,102
16,2/6/2016,41
44,2/6/2016,31
4,2/8/2016,27
8,2/8/2016,16
4,2/9/2016,14
11,2/9/2016,12
6,2/10/2016,0
23,2/10/2016,58
21,2/12/2016,38
9,2/15/2016,35
7,2/16/2016,12
13,2/16/2016,19
3,2/18/2016,42
6,2/18/2016,5
11,2/18/2016,18
8,2/22/2016,11
10,2/22/2016,50
9,2/24/2016,28
28,2/24/2016,4
5,2/25/2016,4
6,2/25/2016,11
7,2/25/2016,20
8,2/25/2016,13
4,2/26/2016,13
7,2/26/2016,32
8,2/26/2016,37
5,2/29/2016,6
5,2/29/2016,14
10,2/29/2016,88
17,2/29/2016,98
2,3/1/2016,10
4,3/1/2016,7
13,3/1/2016,15
37,3/1/2016,81
