Altmetric Attention Score,Publication Date,Number of Dimensions citations
3,12/14/2018,1
5,12/14/2018,15
4,12/17/2018,2
7,12/17/2018,23
10,12/17/2018,9
16,12/17/2018,11
311,12/17/2018,78
5,12/18/2018,1
9,12/18/2018,38
9,12/18/2018,39
4,12/20/2018,5
15,12/21/2018,21
20,12/21/2018,23
1,12/24/2018,18
1,12/24/2018,11
4,12/24/2018,11
16,12/24/2018,10
34,12/24/2018,33
18,12/25/2018,27
8,12/27/2018,17
2,12/30/2018,3
0,1/1/2019,0
27,1/3/2019,49
20,1/7/2019,18
1,1/9/2019,7
2,1/11/2019,6
2,1/15/2019,0
82,1/16/2019,13
12,1/18/2019,5
49,1/18/2019,80
15,1/22/2019,14
4,1/24/2019,16
1,1/29/2019,14
22,1/29/2019,15
4,2/4/2019,12
6,2/4/2019,9
8,2/4/2019,33
2,2/6/2019,2
3,2/6/2019,2
5,2/6/2019,5
15,2/6/2019,37
34,2/6/2019,14
1,2/12/2019,12
4,2/12/2019,10
12,2/12/2019,9
5,2/15/2019,6
1,2/16/2019,15
1,2/16/2019,2
4,2/16/2019,4
7,2/16/2019,10
38,2/16/2019,29
1,2/19/2019,0
12,2/20/2019,28
7,2/27/2019,14
18,2/27/2019,3
3,3/1/2019,23
3,3/1/2019,14
6,3/1/2019,31
19,3/1/2019,15
2,3/5/2019,17
3,3/5/2019,0
10,3/5/2019,4
15,3/5/2019,20
1,3/7/2019,9
29,3/12/2019,35
19,3/17/2019,22
11,3/20/2019,6
12,3/20/2019,25
6,3/21/2019,8
9,3/21/2019,4
13,3/21/2019,26
20,3/22/2019,8
50,3/23/2019,2
1,3/25/2019,13
10,3/25/2019,22
7,3/27/2019,11
11,3/28/2019,2
1,3/30/2019,12
6,3/30/2019,17
1,4/1/2019,4
1,4/2/2019,5
1,4/2/2019,4
9,4/3/2019,14
5,4/4/2019,21
2,4/9/2019,3
4,4/9/2019,26
54,4/9/2019,12
4,4/11/2019,16
5,4/15/2019,15
1,4/19/2019,9
2,4/19/2019,13
8,4/19/2019,18
20,4/19/2019,4
8,4/22/2019,6
15,4/23/2019,7
4,4/26/2019,2
23,4/27/2019,21
4,4/29/2019,9
11,4/29/2019,7
2,5/7/2019,18
37,5/7/2019,10
5,5/8/2019,4
4,5/10/2019,4
30,5/10/2019,34
29,5/12/2019,6
12,5/13/2019,11
61,5/14/2019,17
46,5/19/2019,5
50,5/20/2019,6
2,5/24/2019,7
6,5/24/2019,23
8,5/24/2019,17
22,5/24/2019,29
24,5/24/2019,11
24,5/24/2019,35
22,5/25/2019,15
10,5/26/2019,12
23,5/26/2019,22
1,5/28/2019,1
1,5/28/2019,20
23,5/28/2019,43
28,5/28/2019,47
122,5/28/2019,6
3,6/1/2019,19
15,6/1/2019,35
5,6/2/2019,6
11,6/3/2019,16
24,6/3/2019,12
2,6/4/2019,3
8,6/4/2019,12
11,6/4/2019,30
17,6/4/2019,36
20,6/4/2019,61
3,6/6/2019,18
5,6/6/2019,14
1,6/8/2019,11
10,6/8/2019,7
11,6/8/2019,45
6,6/9/2019,9
5,6/12/2019,7
8,6/13/2019,25
1,6/14/2019,18
2,6/14/2019,4
39,6/19/2019,20
0,6/21/2019,6
1,6/21/2019,11
1,6/21/2019,19
195,6/21/2019,76
69,6/22/2019,67
7,6/23/2019,15
2,6/25/2019,11
5,6/30/2019,15
4,7/2/2019,4
34,7/5/2019,13
2,7/6/2019,3
5,7/6/2019,58
13,7/6/2019,38
4,7/11/2019,13
8,7/13/2019,14
5,7/14/2019,7
34,7/16/2019,21
2,7/18/2019,13
0,7/24/2019,22
7,7/26/2019,34
50,7/26/2019,11
2,7/28/2019,42
3,7/28/2019,21
1,7/29/2019,4
1,7/29/2019,15
13,7/29/2019,21
20,7/29/2019,36
8,7/31/2019,11
8,7/31/2019,4
40,7/31/2019,46
84,7/31/2019,24
12,8/3/2019,10
109,8/5/2019,39
33,8/7/2019,27
4,8/11/2019,4
5,8/13/2019,11
2,8/16/2019,15
5,8/16/2019,33
10,8/16/2019,9
12,8/16/2019,5
18,8/19/2019,13
27,8/19/2019,8
5,8/24/2019,2
24,8/26/2019,16
34,8/28/2019,14
5,9/3/2019,2
18,9/5/2019,10
22,9/5/2019,20
2,9/6/2019,16
7,9/6/2019,18
31,9/6/2019,30
2,9/9/2019,11
6,9/9/2019,10
6,9/9/2019,6
101,9/9/2019,7
1,9/10/2019,17
1,9/10/2019,14
7,9/15/2019,10
6,9/16/2019,18
6,9/18/2019,10
1,9/21/2019,9
5,10/1/2019,1
10,10/1/2019,5
8,10/9/2019,16
7,10/11/2019,2
1,10/13/2019,13
59,10/13/2019,34
1,10/15/2019,6
2,10/15/2019,9
2,10/15/2019,11
3,10/17/2019,15
35,10/17/2019,13
5,10/19/2019,2
5,10/19/2019,11
30,10/19/2019,21
4,10/22/2019,3
1,10/24/2019,10
3,10/28/2019,22
3,10/28/2019,3
39,10/29/2019,19
26,10/30/2019,20
6,11/2/2019,12
14,11/2/2019,17
10,11/7/2019,7
12,11/7/2019,24
4,11/8/2019,10
7,11/8/2019,10
2,11/9/2019,4
3,11/12/2019,7
216,11/12/2019,66
8,11/13/2019,7
5,11/14/2019,38
6,11/14/2019,11
1,11/17/2019,30
43,11/22/2019,17
2,11/25/2019,3
1,11/27/2019,25
4,11/27/2019,17
4,11/27/2019,7
9,11/27/2019,4
1,11/29/2019,7
1,11/29/2019,8
2,11/29/2019,1
2,11/29/2019,0
7,11/29/2019,33
11,11/29/2019,13
42,11/29/2019,6
10,12/3/2019,5
44,12/3/2019,62
3,12/6/2019,12
4,12/6/2019,1
1,12/9/2019,8
9,12/9/2019,17
13,12/9/2019,6
1,12/11/2019,14
1,12/11/2019,30
41,12/13/2019,4
1,12/14/2019,8
9,12/17/2019,21
1,12/19/2019,2
4,12/19/2019,6
13,12/22/2019,11
67,12/22/2019,44
1,12/23/2019,22
1,12/26/2019,14
2,12/26/2019,16
6,12/26/2019,13
115,12/31/2019,123
